user_id,user_full_name,user_email,user_city,user_signup_date,user_is_subscriber,user_subscription_start_date,total_orders,delivered_orders,cancelled_orders,refunded_orders,total_food_revenue,total_revenue,avg_order_value,first_order_date,last_order_date,customer_lifetime_days,avg_delivery_minutes,late_delivery_count,user_segment
USR-0450,Reyna Peiró Parejo,natividad.jódar@example.com,Madrid,2025-09-03,f,,2,2,0,0,68.01,75.99,38.00,2025-11-01,2025-12-13,42,93.5,2,regular
USR-0936,Calista Uribe Leal,marisa.cruz@example.com,Madrid,2025-12-31,t,2025-12-31,7,6,1,1,286.32,286.32,40.90,2025-12-31,2025-12-31,0,53.2,4,power_user
USR-0271,Ascensión del Lasa,eustaquio.benet@example.com,Barcelona,2024-12-14,t,2024-12-14,5,5,0,0,175.91,177.40,35.48,2025-04-18,2025-12-21,247,48.8,3,regular
USR-1188,Consuela Luís Valenzuela,maricela.miranda@example.com,Valencia,2024-11-07,f,,4,3,1,1,167.42,183.38,45.85,2024-11-21,2025-09-25,308,43.7,2,regular
USR-0071,Cesar Galán Lucas,encarnación.benitez@example.com,Barcelona,2025-05-12,t,2025-05-12,4,3,1,1,156.78,158.27,39.57,2025-05-28,2025-11-22,178,46.7,2,regular
USR-0973,Bartolomé Jose Ramón Molina Cornejo,donato.arco@example.com,Valencia,2024-11-06,t,2024-11-06,2,1,1,1,81.85,81.85,40.93,2025-08-29,2025-09-29,31,58.0,1,regular
USR-0106,Candelas Falcó Machado,maristela.girona@example.com,Valencia,2024-01-10,f,,1,1,0,0,11.28,15.27,15.27,2024-11-19,2024-11-19,0,59.0,1,one_time
USR-1521,Vito Pomares Asenjo,jerónimo.villalobos@example.com,Madrid,2024-08-02,f,,6,5,1,1,266.41,290.35,48.39,2024-08-24,2025-12-25,488,63.4,3,power_user
USR-1477,Jimena Bernardita Noguera Reyes,francisca.calderon@example.com,Barcelona,2025-05-22,f,,5,5,0,0,179.77,199.72,39.94,2025-06-15,2025-10-15,122,51.6,4,regular
USR-0332,Manuelita Vilalta-Anaya,isaac.dueñas@example.com,Barcelona,2025-06-04,f,,2,2,0,0,102.26,110.24,55.12,2025-09-14,2025-12-01,78,52.0,0,regular
USR-1037,Adoración Botella Moll,nico.manzano@example.com,Madrid,2025-08-02,f,,4,3,1,1,162.04,178.00,44.50,2025-09-19,2025-12-09,81,66.0,1,regular
USR-0115,Ruth Elena Alcaraz Rovira,bernardino.gil@example.com,Madrid,2025-07-20,t,2025-07-20,2,2,0,0,117.50,117.50,58.75,2025-09-13,2025-11-13,61,48.5,2,regular
USR-1134,Arturo Isidoro Tapia Martin,eutimio.campillo@example.com,Valencia,2025-06-19,f,,10,9,1,1,347.18,387.08,38.71,2025-07-06,2025-12-17,164,51.8,5,power_user
USR-1461,Marcela Perera Iñiguez,maricruz.gallo@example.com,Valencia,2025-05-09,f,,1,1,0,0,35.30,39.29,39.29,2025-05-20,2025-05-20,0,71.0,1,one_time
USR-1106,Araceli de Berenguer,belen.sarmiento@example.com,Valencia,2024-11-04,t,2024-11-04,2,2,0,0,65.33,65.33,32.67,2025-04-16,2025-06-08,53,42.0,0,regular
USR-0086,Paz Moya Sevillano,liliana.fábregas@example.com,Barcelona,2024-08-06,f,,5,5,0,0,140.94,160.89,32.18,2024-10-01,2025-08-22,325,42.8,2,regular
USR-0729,Rosalina Sanchez Arellano,pablo.quirós@example.com,Valencia,2025-12-05,f,,3,3,0,0,115.74,127.71,42.57,2025-12-16,2025-12-29,13,64.0,2,regular
USR-0140,Ambrosio Barroso Carbó,bernabé.sainz@example.com,Barcelona,2024-08-16,t,2024-08-16,3,3,0,0,134.95,134.95,44.98,2025-08-10,2025-10-23,74,68.7,2,regular
USR-1083,Loida Cuesta Barragán,mercedes.barranco@example.com,Barcelona,2024-11-08,f,,3,3,0,0,117.09,129.06,43.02,2025-02-24,2025-09-04,192,56.0,2,regular
USR-0855,Sebastián Girón Mendez,filomena.solsona@example.com,Barcelona,2025-06-26,t,2025-06-26,4,4,0,0,146.68,146.68,36.67,2025-07-19,2025-10-24,97,45.3,1,regular
USR-1175,Primitivo Talavera,adelaida.quintanilla@example.com,Barcelona,2025-10-14,f,,3,3,0,0,139.92,151.89,50.63,2025-11-12,2025-11-19,7,70.3,3,regular
USR-1016,Felipe Palau Manjón,rosalía.calzada@example.com,Valencia,2024-12-26,f,,3,3,0,0,130.61,142.58,47.53,2025-06-19,2025-12-13,177,70.0,2,regular
USR-0482,Evangelina Pagès Bustos,urbano.lloret@example.com,Madrid,2025-08-04,f,,2,2,0,0,111.31,119.29,59.65,2025-12-08,2025-12-25,17,44.5,1,regular
USR-0389,Ramón de Vilalta,cipriano.arenas@example.com,Valencia,2024-02-04,f,,7,6,1,1,243.75,271.68,38.81,2024-02-07,2025-12-07,669,57.5,4,power_user
USR-0886,Ariel Clotilde Jiménez Casal,jaime.diaz@example.com,Valencia,2025-05-15,t,2025-05-15,4,4,0,0,159.08,159.08,39.77,2025-06-11,2025-10-16,127,76.3,3,regular
USR-0177,Ramiro Arrieta,maximiliano.baquero@example.com,Barcelona,2024-04-19,f,,4,3,1,1,167.97,183.93,45.98,2024-08-05,2025-12-11,493,51.0,1,regular
USR-0566,Lino Cirino Lobo Zapata,humberto.vall@example.com,Valencia,2025-09-17,f,,8,7,1,1,239.80,271.72,33.97,2025-09-22,2025-12-25,94,57.6,5,power_user
USR-0939,Ovidio Desiderio Armas Ruiz,esmeralda.fuentes@example.com,Barcelona,2025-01-04,t,2025-01-04,4,4,0,0,148.13,148.13,37.03,2025-01-10,2025-07-29,200,52.3,2,regular
USR-1412,Manu Rueda Aguirre,marisol.arrieta@example.com,Barcelona,2025-08-25,f,,6,6,0,0,306.31,330.25,55.04,2025-09-13,2025-12-14,92,60.3,4,power_user
USR-0089,Clímaco Villegas Teruel,maite.polo@example.com,Valencia,2024-10-19,f,,4,4,0,0,118.35,134.31,33.58,2024-11-16,2025-06-18,214,56.0,3,regular
USR-1222,Constanza Bauzà Marcos,elena.julián@example.com,Madrid,2024-02-29,f,,3,2,1,1,114.69,126.66,42.22,2024-04-01,2025-06-25,450,68.5,1,regular
USR-0135,Camilo Vargas,teófila.ribes@example.com,Barcelona,2025-11-16,f,,3,3,0,0,79.31,91.28,30.43,2025-11-22,2025-12-28,36,48.7,0,regular
USR-0879,Luciana Roldan Benitez,asunción.alegre@example.com,Madrid,2024-10-29,t,2024-10-29,2,2,0,0,113.01,113.01,56.51,2025-11-04,2025-12-10,36,60.0,2,regular
USR-0590,Obdulia Cal Aguado,florinda.madrigal@example.com,Valencia,2024-06-02,f,,3,3,0,0,115.64,127.61,42.54,2025-02-03,2025-09-23,232,79.7,2,regular
USR-1169,Alma Mínguez Cuadrado,samu.vall@example.com,Barcelona,2024-08-31,f,,4,4,0,0,234.09,250.05,62.51,2024-10-13,2025-06-17,247,54.8,3,regular
USR-0313,Eloy Zamorano-Sáez,eugenia.casals@example.com,Barcelona,2025-07-17,t,2025-07-17,6,6,0,0,170.36,173.34,28.89,2025-10-08,2025-12-05,58,74.7,5,power_user
USR-0640,Paola Aramburu Jódar,adoración.rovira@example.com,Valencia,2024-02-03,f,,3,3,0,0,103.93,115.90,38.63,2024-12-31,2025-10-03,276,50.7,3,regular
USR-0252,Noa Arteaga,norberto.riba@example.com,Barcelona,2025-05-17,f,,4,3,1,1,157.23,173.19,43.30,2025-05-21,2025-08-23,94,51.3,2,regular
USR-0035,Ricardo Bernad Paniagua,gabriela.vallés@example.com,Valencia,2024-05-22,t,2024-05-22,2,2,0,0,53.76,53.76,26.88,2024-06-18,2025-01-21,217,68.0,2,regular
USR-0409,Reina Ángel Toro,julia.camino@example.com,Barcelona,2024-04-29,t,2024-04-29,2,2,0,0,23.98,25.47,12.74,2024-06-29,2024-08-02,34,47.0,2,regular
USR-0923,Fabio Reinaldo Dominguez Trujillo,guadalupe.alsina@example.com,Valencia,2024-06-15,f,,6,6,0,0,200.61,224.55,37.43,2024-12-27,2025-07-19,204,58.8,5,power_user
USR-0155,Cesar Alsina Vicente,sebastián.múgica@example.com,Barcelona,2025-09-30,f,,3,3,0,0,84.96,96.93,32.31,2025-10-08,2025-12-28,81,39.0,1,regular
USR-0239,Salvador Aliaga Guerra,estrella.murillo@example.com,Valencia,2025-05-10,f,,1,1,0,0,32.72,36.71,36.71,2025-05-26,2025-05-26,0,47.0,1,one_time
USR-0185,Pepita Trujillo Cañas,nydia.diéguez@example.com,Valencia,2025-03-12,f,,3,3,0,0,112.13,124.10,41.37,2025-06-25,2025-07-26,31,56.0,3,regular
USR-0381,Glauco Morillo Martinez,soraya.torralba@example.com,Barcelona,2025-12-03,f,,1,1,0,0,33.80,37.79,37.79,2025-12-05,2025-12-05,0,62.0,1,one_time
USR-0014,Simón de Echeverría,vidal.mendizábal@example.com,Valencia,2024-09-27,f,,1,1,0,0,30.28,34.27,34.27,2024-12-11,2024-12-11,0,59.0,1,one_time
USR-0551,Ceferino Nicolás-Aliaga,patricio.carbajo@example.com,Valencia,2024-12-02,f,,2,2,0,0,68.21,76.19,38.10,2024-12-18,2025-08-08,233,45.0,1,regular
USR-0513,Urbano Hervás Velázquez,dorita.viana@example.com,Barcelona,2024-03-19,f,,5,5,0,0,140.33,160.28,32.06,2024-10-05,2025-08-22,321,50.4,4,regular
USR-0159,Cruz Carrasco Cuevas,valentina.quintero@example.com,Madrid,2025-03-06,f,,3,3,0,0,99.72,111.69,37.23,2025-04-29,2025-11-23,208,54.3,2,regular
USR-0359,Anabel de Tur,esperanza.vera@example.com,Madrid,2024-08-20,f,,2,2,0,0,47.01,54.99,27.50,2024-09-20,2025-09-05,350,71.0,2,regular
USR-0301,Dalila Ferrando Llorens,maxi.rocamora@example.com,Valencia,2025-03-18,f,,6,6,0,0,231.47,255.41,42.57,2025-05-05,2025-11-14,193,39.2,2,power_user
USR-1525,Jose Angel Simó Llobet,ani.melero@example.com,Barcelona,2025-10-14,f,,4,4,0,0,179.16,195.12,48.78,2025-10-25,2025-12-06,42,51.0,3,regular
USR-0432,Felipa Hernandez,demetrio.barral@example.com,Barcelona,2024-05-13,f,,2,2,0,0,55.57,63.55,31.78,2025-02-08,2025-10-12,246,66.5,1,regular
USR-1180,Reyes Candelario Angulo Planas,calixta.cabrera@example.com,Madrid,2024-11-30,f,,5,5,0,0,128.00,147.95,29.59,2024-12-09,2025-12-07,363,55.0,3,regular
USR-0012,Reinaldo de Aramburu,agustín.marqués@example.com,Barcelona,2024-04-14,t,2024-04-14,3,3,0,0,112.90,114.39,38.13,2025-01-14,2025-12-14,334,66.3,3,regular
USR-1260,Norberto Barral Gallego,dafne.cortés@example.com,Barcelona,2025-10-13,f,,3,3,0,0,83.05,95.02,31.67,2025-10-25,2025-11-25,31,74.3,3,regular
USR-1478,Balduino Poza,cruz.solano@example.com,Madrid,2025-05-18,f,,5,5,0,0,191.23,211.18,42.24,2025-05-21,2025-11-16,179,67.0,5,regular
USR-0331,Rolando Revilla Acuña,emilia.tovar@example.com,Valencia,2025-01-27,t,2025-01-27,2,2,0,0,97.43,97.43,48.72,2025-04-12,2025-09-28,169,56.5,0,regular
USR-1341,Amada Pombo Olmo,vanesa.agustí@example.com,Barcelona,2025-08-05,t,2025-08-05,2,2,0,0,75.64,75.64,37.82,2025-09-30,2025-11-23,54,78.0,2,regular
USR-0591,Ileana de Marin,esmeralda.vargas@example.com,Barcelona,2025-09-15,f,,4,4,0,0,123.73,139.69,34.92,2025-09-19,2025-12-25,97,51.3,4,regular
USR-1431,Dani Prat Villar,fanny.domínguez@example.com,Valencia,2024-10-03,f,,4,4,0,0,120.49,136.45,34.11,2024-11-27,2025-10-30,337,61.8,3,regular
USR-0960,Elisabet Carreras Barrera,felicidad.exposito@example.com,Barcelona,2025-10-28,f,,4,3,1,1,147.99,163.95,40.99,2025-11-11,2025-12-31,50,50.0,1,regular
USR-1470,Rolando del Pacheco,arcelia.gallego@example.com,Valencia,2024-12-12,f,,1,1,0,0,11.81,15.80,15.80,2025-11-04,2025-11-04,0,47.0,0,one_time
USR-0063,Antonia Luz Alemany Cantón,corona.ramón@example.com,Madrid,2025-11-18,f,,3,3,0,0,101.48,113.45,37.82,2025-11-22,2025-12-29,37,94.3,3,regular
USR-0401,Bernabé Cabanillas,aristides.villena@example.com,Valencia,2025-04-10,f,,4,4,0,0,96.02,111.98,28.00,2025-04-23,2025-12-05,226,50.5,2,regular
USR-1351,Emma Cabrero Sevillano,odalis.puga@example.com,Barcelona,2025-12-06,t,2025-12-06,4,3,1,1,224.23,224.23,56.06,2025-12-22,2025-12-26,4,61.3,2,regular
USR-0150,Ángela Villanueva Fiol,florencio.corominas@example.com,Valencia,2024-07-13,f,,4,4,0,0,231.16,247.12,61.78,2024-08-03,2025-12-02,486,58.0,2,regular
USR-1228,Eloy Oliver Gonzalo,ascensión.gonzález@example.com,Madrid,2025-08-12,f,,4,3,1,1,224.76,240.72,60.18,2025-08-20,2025-11-21,93,78.7,3,regular
USR-1555,Yago Victor Acuña Pizarro,gema.cuadrado@example.com,Madrid,2024-06-07,t,2024-06-07,4,4,0,0,183.75,183.75,45.94,2024-10-04,2025-10-23,384,65.3,3,regular
USR-0158,Nilo del Hernando,florencia.miró@example.com,Barcelona,2024-10-29,f,,4,2,2,2,200.44,216.40,54.10,2025-02-23,2025-12-20,300,48.5,1,regular
USR-0112,Cruz Carballo-Vigil,ani.zabala@example.com,Valencia,2025-06-25,t,2025-06-25,3,2,1,1,152.35,152.35,50.78,2025-07-08,2025-11-27,142,53.0,2,regular
USR-0804,Agustín del Tello,ángel.andreu@example.com,Valencia,2025-06-22,f,,6,6,0,0,241.47,265.41,44.24,2025-09-09,2025-12-11,93,62.2,5,power_user
USR-0223,Pacífica Múñiz Benítez,ramona.castelló@example.com,Barcelona,2024-04-27,f,,3,3,0,0,93.34,105.31,35.10,2024-05-24,2025-11-25,550,66.0,2,regular
USR-1403,Anastasio Arranz-Sobrino,silvestre.bermudez@example.com,Madrid,2024-03-31,t,2024-03-31,2,2,0,0,69.82,69.82,34.91,2025-02-18,2025-11-12,267,34.5,0,regular
USR-0706,Valeria Valverde Ochoa,ámbar.llano@example.com,Madrid,2025-10-31,f,,8,6,2,2,250.89,282.81,35.35,2025-10-31,2025-12-24,54,53.8,3,power_user
USR-0663,Fabián Alegria Vergara,olimpia.ramírez@example.com,Valencia,2024-03-08,f,,5,5,0,0,213.96,233.91,46.78,2024-04-14,2025-10-15,549,64.2,2,regular
USR-0996,Manolo Raimundo Macías Narváez,fermín.bayo@example.com,Barcelona,2025-05-09,f,,4,3,1,1,162.45,178.41,44.60,2025-07-26,2025-12-04,131,67.7,3,regular
USR-0810,Matías Alcalá Cabanillas,chus.pombo@example.com,Valencia,2025-08-20,f,,3,3,0,0,102.10,114.07,38.02,2025-09-12,2025-11-07,56,83.0,3,regular
USR-0965,Valentín Martí Sanz,maría teresa.duarte@example.com,Madrid,2024-09-05,f,,2,2,0,0,106.49,114.47,57.24,2025-06-30,2025-07-29,29,63.5,2,regular
USR-0391,León Cisneros Mármol,fidela.mateu@example.com,Barcelona,2024-11-30,f,,4,4,0,0,158.65,174.61,43.65,2025-02-21,2025-07-31,160,52.3,1,regular
USR-0525,Edelmiro Alcolea-Gras,paca.carbonell@example.com,Madrid,2025-04-25,f,,3,3,0,0,157.32,169.29,56.43,2025-04-30,2025-10-16,169,70.3,2,regular
USR-0427,Alfonso Ballester Ibáñez,joaquina.vicens@example.com,Barcelona,2024-05-08,f,,4,4,0,0,156.26,172.22,43.06,2024-09-09,2025-11-01,418,49.3,3,regular
USR-0195,Carmela Barros,octavio.recio@example.com,Madrid,2025-02-21,f,,3,3,0,0,109.44,121.41,40.47,2025-07-25,2025-10-14,81,45.3,1,regular
USR-0103,Dominga Juliá Sandoval,ariel.gargallo@example.com,Madrid,2024-11-17,t,2024-11-17,3,3,0,0,110.27,110.27,36.76,2025-05-17,2025-07-17,61,51.0,3,regular
USR-0599,Arsenio Rufino Vilar Almansa,lourdes.verdejo@example.com,Valencia,2025-03-02,t,2025-03-02,2,2,0,0,69.76,69.76,34.88,2025-07-02,2025-08-09,38,79.0,2,regular
USR-0715,Nacio Arco Páez,cándida.taboada@example.com,Madrid,2024-05-11,f,,1,1,0,0,44.67,48.66,48.66,2025-10-10,2025-10-10,0,47.0,0,one_time
USR-0711,Nando Haro Borrás,mireia.barral@example.com,Valencia,2025-07-29,t,2025-07-29,3,3,0,0,117.92,117.92,39.31,2025-11-11,2025-12-16,35,55.3,3,regular
USR-0337,Edelmira Dalmau Berenguer,jimena.jara@example.com,Barcelona,2025-11-06,f,,3,3,0,0,131.47,143.44,47.81,2025-12-14,2025-12-21,7,38.7,1,regular
USR-1373,Mariano Piña-Abascal,isidoro.falcó@example.com,Valencia,2024-05-23,f,,1,0,1,1,16.46,20.45,20.45,2024-07-22,2024-07-22,0,,0,one_time
USR-0459,Celia Jesusa Fortuny Romero,maría ángeles.téllez@example.com,Barcelona,2025-12-04,f,,2,1,1,1,77.58,85.56,42.78,2025-12-07,2025-12-18,11,61.0,1,regular
USR-0974,Isaac Donaire-Cobo,heriberto.cantero@example.com,Madrid,2024-06-06,f,,1,1,0,0,67.61,71.60,71.60,2025-11-01,2025-11-01,0,67.0,0,one_time
USR-1300,Viviana Portero Sáenz,kike.bustamante@example.com,Madrid,2025-01-31,f,,3,3,0,0,97.24,109.21,36.40,2025-02-23,2025-11-30,280,57.7,2,regular
USR-0385,Angelino Burgos Padilla,luciano.seguí@example.com,Valencia,2024-09-13,f,,3,3,0,0,122.60,134.57,44.86,2024-10-14,2025-11-09,391,58.0,3,regular
USR-0848,Débora Pascual Prats,josé ángel.carballo@example.com,Valencia,2025-10-20,f,,4,4,0,0,160.86,176.82,44.21,2025-11-14,2025-12-29,45,66.8,3,regular
USR-0315,Aitana Velázquez Patiño,teodosio.gisbert@example.com,Barcelona,2025-02-17,f,,2,2,0,0,61.17,69.15,34.58,2025-03-25,2025-11-03,223,46.0,1,regular
USR-1380,Rosaura Gras,javier.poza@example.com,Barcelona,2025-01-02,f,,2,1,1,1,47.09,55.07,27.54,2025-01-24,2025-09-12,231,46.0,0,regular
USR-1051,Maximiano Almagro Carro,ana sofía.robledo@example.com,Valencia,2024-12-25,f,,4,4,0,0,157.31,173.27,43.32,2025-02-24,2025-12-27,306,55.5,3,regular
USR-0902,Raimundo Prieto,ana.porras@example.com,Valencia,2024-06-01,t,2024-06-01,4,4,0,0,183.69,183.69,45.92,2024-06-14,2024-11-09,148,77.8,3,regular
USR-0581,Graciana Melisa Galvez Morales,milagros.márquez@example.com,Valencia,2025-02-28,t,2025-02-28,4,3,1,1,133.53,136.51,34.13,2025-04-14,2025-12-19,249,48.3,1,regular
USR-0995,Rosendo Rincón Casado,alejo.quiroga@example.com,Valencia,2025-04-11,f,,8,7,1,1,343.77,375.69,46.96,2025-04-14,2025-12-04,234,63.1,4,power_user
USR-1537,Rafaela Olmedo Gámez,erasmo.herrero@example.com,Valencia,2025-09-22,f,,1,1,0,0,15.77,19.76,19.76,2025-09-28,2025-09-28,0,61.0,0,one_time
USR-0217,Leoncio Marqués Sureda,evelia.sancho@example.com,Barcelona,2025-10-29,t,2025-10-29,3,3,0,0,71.23,72.72,24.24,2025-11-11,2025-12-16,35,43.0,2,regular
USR-1511,Elodia Ugarte Zabaleta,jose luis.alegria@example.com,Valencia,2024-05-11,t,2024-05-11,2,2,0,0,83.03,83.03,41.52,2024-07-31,2025-11-13,470,55.5,2,regular
USR-1325,Rufina Sebastián-Benavent,lucía.busquets@example.com,Madrid,2025-09-15,f,,2,2,0,0,37.21,45.19,22.60,2025-11-03,2025-12-16,43,60.0,1,regular
USR-0413,Virgilio Vives Morán,luisina.mate@example.com,Valencia,2025-11-17,f,,5,5,0,0,191.63,211.58,42.32,2025-12-01,2025-12-29,28,50.6,2,regular
USR-0264,Melisa Vázquez-Clavero,sancho.abellán@example.com,Madrid,2024-07-17,f,,1,0,1,1,21.07,25.06,25.06,2024-11-11,2024-11-11,0,,0,one_time
USR-0002,Heriberto Gordillo-Cortes,antonia.falcón@example.com,Barcelona,2024-10-08,t,2024-10-08,3,3,0,0,98.33,99.82,33.27,2025-03-27,2025-08-27,153,58.3,2,regular
USR-0770,Ligia Pallarès,georgina.blanca@example.com,Barcelona,2024-04-01,f,,3,3,0,0,79.53,91.50,30.50,2024-10-06,2025-05-30,236,74.0,3,regular
USR-0109,Mireia de Arenas,cintia.fajardo@example.com,Madrid,2024-03-11,f,,3,3,0,0,71.55,83.52,27.84,2024-11-10,2025-12-07,392,53.7,2,regular
