user_id,full_name,email,city,signup_date,is_subscriber,subscription_start_date
USR-0025,Reina Duque Molina,amado.coll@example.com,Valencia,2025-10-12,True,2025-10-12
USR-0026,Reynaldo Jerónimo Barreda Chaparro,rubén.garcía@example.com,Madrid,2024-09-07,True,2024-09-07
USR-0027,Heraclio Bermúdez Tovar,joan.marcos@example.com,Valencia,2024-10-03,False,
USR-0028,Bárbara Claudia Lozano Marí,marc.mariño@example.com,Valencia,2025-12-05,False,
USR-0029,Nicanor Echevarría,amor.barbero@example.com,Barcelona,2024-11-28,False,
USR-0030,Ascensión Isern-Luján,mónica.rios@example.com,Madrid,2024-08-22,False,
USR-0031,Joaquina Maestre Roda,amparo.montoya@example.com,Barcelona,2025-02-14,False,
USR-0032,Severino Cañas Cuenca,carmina.nicolás@example.com,Madrid,2025-08-03,False,
USR-0033,Pío Quiroga,paola.sedano@example.com,Madrid,2024-08-05,False,
USR-0034,Paola del Ramón,inés.pont@example.com,Madrid,2025-10-20,False,
USR-0035,Ricardo Bernad Paniagua,gabriela.vallés@example.com,Valencia,2024-05-22,True,2024-05-22
USR-0036,Leonor Azeneth Fábregas Costa,primitiva.gibert@example.com,Valencia,2025-07-05,False,
USR-0037,Florentina Ferrer Contreras,mireia.castañeda@example.com,Madrid,2025-03-14,False,
USR-0038,Lourdes Perales Galindo,isidro.gallo@example.com,Barcelona,2025-01-05,True,2025-01-05
USR-0039,Raúl Neira-Mur,julián.villegas@example.com,Barcelona,2025-06-05,False,
USR-0040,Íñigo Noguera Gargallo,reyes.flores@example.com,Barcelona,2024-04-22,True,2024-04-22
USR-0041,Paloma Montserrat Madrigal Milla,encarna.gargallo@example.com,Barcelona,2025-11-27,False,
USR-0042,Merche Burgos Sierra,perla.andreu@example.com,Madrid,2025-01-29,False,
USR-0043,Angélica Soler Araujo,máximo.clemente@example.com,Valencia,2025-06-25,False,
USR-0044,Jovita Lorenzo Sanz,che.casals@example.com,Barcelona,2024-01-12,False,
USR-0045,Lázaro Zamora Zapata,martin.perea@example.com,Madrid,2025-11-29,False,
USR-0046,Lara Casals Reina,lucas.barco@example.com,Madrid,2025-10-18,False,
USR-0047,Fabiana Aznar Martí,débora.salazar@example.com,Barcelona,2025-03-21,True,2025-03-21
USR-0048,Herminia Cardona Donoso,maribel.canals@example.com,Barcelona,2024-09-26,False,
USR-0049,Fernando Mora-Soto,chelo.vara@example.com,Valencia,2025-06-03,False,
USR-0050,Reynaldo Malo Sola,tristán.cervantes@example.com,Valencia,2024-11-01,False,
USR-0051,Anna Vilanova,salvador.roura@example.com,Madrid,2025-09-15,True,2025-09-15
USR-0052,Azahar Edelmira Cortes Vilalta,erasmo.carnero@example.com,Valencia,2024-06-14,False,
USR-0053,Nazaret Fiol Criado,lupe.gutiérrez@example.com,Madrid,2024-01-01,False,
USR-0054,Paulino Pastor Bonilla,lázaro.olivé@example.com,Madrid,2024-01-20,True,2024-01-20
USR-0055,Diana Bauzà,leonel.céspedes@example.com,Barcelona,2024-11-10,True,2024-11-10
USR-0056,Amaro Bernat Gisbert,agapito.alfaro@example.com,Barcelona,2025-08-03,False,
USR-0057,Emiliana Rojas Nevado,alberto.novoa@example.com,Valencia,2025-05-12,False,
USR-0058,Narcisa Narváez-Giménez,manu.falcón@example.com,Madrid,2024-05-08,True,2024-05-08
USR-0059,Nazaret Galan Llobet,olegario.ayala@example.com,Valencia,2025-07-16,True,2025-07-16
USR-0060,Arcelia Landa,cruz.lerma@example.com,Barcelona,2025-09-13,False,
USR-0061,Felipa Bárcena Salcedo,blanca.juliá@example.com,Valencia,2025-07-06,False,
USR-0062,Damián del Sedano,teo.villar@example.com,Madrid,2024-07-24,False,
USR-0063,Antonia Luz Alemany Cantón,corona.ramón@example.com,Madrid,2025-11-18,False,
USR-0064,Juliana Fábregas Goicoechea,carlito.quevedo@example.com,Barcelona,2025-06-13,False,
USR-0065,Lope Soriano,calista.aliaga@example.com,Barcelona,2024-08-18,True,2024-08-18
USR-0066,Bartolomé León Marqués Julián,palmira.artigas@example.com,Valencia,2025-08-25,False,
USR-0067,Vinicio Mendez Arce,geraldo.morante@example.com,Valencia,2024-08-13,True,2024-08-13
USR-0068,Teobaldo Reig Tomas,clementina.leiva@example.com,Barcelona,2025-10-08,True,2025-10-03
USR-0069,Ofelia Collado Lerma,baltasar.soler@example.com,Barcelona,2024-02-02,False,
USR-0070,Eva Llanos Olivares,luisina.cañas@example.com,Valencia,2025-06-10,True,2025-06-10
USR-0071,Cesar Galán Lucas,encarnación.benitez@example.com,Barcelona,2025-05-12,True,2025-05-12
USR-0072,Estefanía Porta Bernat,pelayo.armengol@example.com,Barcelona,2025-08-07,False,
USR-0073,Fausto Galan Bou,aureliano.aparicio@example.com,Barcelona,2025-04-29,False,
USR-0074,Perla Ariel Guardia Pedrero,encarna.agustín@example.com,Madrid,2024-04-06,True,2024-04-06
USR-0075,Alma Río Manjón,alba.benavent@example.com,Madrid,2024-12-28,False,
USR-0076,Elena García-Lledó,gregorio.rosselló@example.com,Valencia,2024-02-25,False,
USR-0077,Gerónimo Damián Suárez Coloma,evelia.marco@example.com,Valencia,2024-04-10,True,2024-04-10
USR-0078,Manuel Agullo Elorza,eloy.tejero@example.com,Barcelona,2024-12-13,False,
USR-0079,Narcisa Sarmiento Jaume,liliana.arrieta@example.com,Valencia,2024-09-11,True,2024-09-11
USR-0080,Nieves Arenas Somoza,isabel.oliva@example.com,Barcelona,2025-04-04,True,2025-04-04
USR-0081,Pastora Escalona Núñez,ruy.niño@example.com,Barcelona,2024-10-12,False,
USR-0082,Gaspar Casado Gonzalez,chuy.nebot@example.com,Valencia,2025-03-29,False,
USR-0083,Patricia Madrid Arregui,tecla.cases@example.com,Valencia,2024-04-10,True,2024-04-10
USR-0084,Jacinta Manzanares Gabaldón,ramón.chico@example.com,Barcelona,2024-01-16,False,
USR-0085,Ricardo Valencia Cadenas,tadeo.marquez@example.com,Madrid,2024-06-19,False,
USR-0086,Paz Moya Sevillano,liliana.fábregas@example.com,Barcelona,2024-08-06,False,
USR-0087,Buenaventura Cardona Pizarro,loida.mata@example.com,Madrid,2024-06-17,False,
USR-0088,Candelas Felicidad Aznar Bermudez,xavier.guijarro@example.com,Madrid,2024-09-28,False,
USR-0089,Clímaco Villegas Teruel,maite.polo@example.com,Valencia,2024-10-19,False,
USR-0090,Mariano del Sacristán,maría luisa.botella@example.com,Madrid,2025-07-23,False,
USR-0091,Catalina Porta,dimas.mur@example.com,Barcelona,2024-06-07,True,2024-06-07
USR-0092,Violeta Torrens Castellanos,maría.reig@example.com,Valencia,2024-02-29,False,
USR-0093,Sergio Contreras Calzada,estrella.toledo@example.com,Barcelona,2024-03-03,False,
USR-0094,Constanza Alvarado Vaquero,armida.diéguez@example.com,Valencia,2024-02-21,False,
USR-0095,Rita de Soriano,macarena.coello@example.com,Valencia,2025-06-27,True,2025-06-27
USR-0096,Olga Céspedes Boada,ágata.pereira@example.com,Barcelona,2024-03-23,False,
USR-0097,Leocadia Perez,isabela.ruano@example.com,Barcelona,2025-09-01,True,2025-09-01
USR-0098,Rafa Folch Acosta,iker.pulido@example.com,Valencia,2025-02-17,True,2025-02-17
USR-0099,Francisco Jose Barrena Trujillo,perlita.calvet@example.com,Barcelona,2024-09-09,False,
USR-0100,Cruz Zamorano Alonso,berto.morales@example.com,Valencia,2025-09-26,True,2025-09-26
USR-0101,Carlito Sarabia Ferreras,rosalinda.carretero@example.com,Madrid,2025-08-20,False,
USR-0102,Ruben Prieto Canet,zaira.saavedra@example.com,Valencia,2024-09-24,True,2024-09-24
USR-0103,Dominga Juliá Sandoval,ariel.gargallo@example.com,Madrid,2024-11-17,True,2024-11-17
USR-0104,Hilda Puga Bastida,juanito.pérez@example.com,Madrid,2024-05-14,False,
USR-0105,Severino Benet Girona,macario.hurtado@example.com,Barcelona,2025-04-13,False,
USR-0106,Candelas Falcó Machado,maristela.girona@example.com,Valencia,2024-01-10,False,
USR-0107,Pilar Terrón Mesa,gisela.bautista@example.com,Barcelona,2024-04-12,True,2024-04-12
USR-0108,Julieta Jordá Beltran,nilo.isern@example.com,Madrid,2025-06-02,False,
USR-0109,Mireia de Arenas,cintia.fajardo@example.com,Madrid,2024-03-11,False,
USR-0110,Gilberto Samper Pareja,virginia.ferrández@example.com,Valencia,2024-10-18,True,2024-10-18
USR-0111,Mercedes Garzón Sans,hipólito.alcaraz@example.com,Valencia,2025-12-21,False,
USR-0112,Cruz Carballo-Vigil,ani.zabala@example.com,Valencia,2025-06-25,True,2025-06-25
USR-0113,Ovidio Loreto Manrique Beltrán,edelmira.dueñas@example.com,Barcelona,2024-11-02,False,
USR-0114,Beatriz Maza Capdevila,armida.coca@example.com,Barcelona,2024-05-17,False,
USR-0115,Ruth Elena Alcaraz Rovira,bernardino.gil@example.com,Madrid,2025-07-20,True,2025-07-20
USR-0116,Efraín Estevez Coello,susanita.samper@example.com,Madrid,2025-09-11,True,2025-09-11
USR-0117,Nando Casanova,gonzalo.escrivá@example.com,Madrid,2024-07-27,False,
USR-0118,Albert Jimenez,ismael.feijoo@example.com,Barcelona,2025-06-01,False,
USR-0119,María Fernanda Amat,íngrid.perez@example.com,Madrid,2024-04-04,False,
USR-0120,María Fernanda Carmona Barragán,estefanía.tejedor@example.com,Barcelona,2024-02-15,True,2024-02-15
USR-0121,Rogelio Armengol Agullo,carmela.serna@example.com,Barcelona,2025-10-14,False,
USR-0122,Águeda de Balaguer,pepita.doménech@example.com,Madrid,2025-03-28,False,
USR-0123,Guadalupe Ricart Hervás,ceferino.cases@example.com,Barcelona,2025-07-28,True,2025-07-28
USR-0124,Juanita Vaquero Domingo,luisina.domingo@example.com,Valencia,2025-12-08,False,
USR-0125,Gisela Ribes Larrañaga,georgina.carreño@example.com,Valencia,2024-02-06,False,
USR-0126,Pío Ferrera Sosa,andrés.vidal@example.com,Barcelona,2025-07-19,True,2025-07-19
USR-0127,Rodrigo Corbacho Cortés,leocadio.gomez@example.com,Barcelona,2024-02-12,False,
USR-0128,Édgar Real-Garay,petrona.amor@example.com,Barcelona,2025-01-01,True,2025-01-01
USR-0129,César Lara Sola,lilia.rovira@example.com,Valencia,2025-11-13,True,2025-11-13
USR-0130,Lucía Amores Velázquez,teo.olivares@example.com,Valencia,2025-02-20,False,
USR-0131,Celia Bárcena Roldan,alejo.marco@example.com,Barcelona,2024-06-07,False,
USR-0132,Rafael Bellido-Villar,pacífica.lozano@example.com,Barcelona,2024-06-15,False,
USR-0133,Aránzazu Sandoval Abril,teófilo.arrieta@example.com,Valencia,2025-02-26,True,2025-02-26
USR-0134,Gerónimo Huertas,galo.mayoral@example.com,Madrid,2024-12-06,False,
USR-0135,Camilo Vargas,teófila.ribes@example.com,Barcelona,2025-11-16,False,
USR-0136,María Ángeles Amat,javi.saez@example.com,Valencia,2024-09-30,True,2024-09-30
USR-0137,Sandra Camino Iborra,encarna.fuente@example.com,Barcelona,2024-04-20,False,
USR-0138,Gema de Bernat,teresita.bonilla@example.com,Madrid,2025-04-26,True,2025-04-26
USR-0139,Lorenzo Serrano Ropero,magdalena.ferreras@example.com,Barcelona,2024-12-24,False,
USR-0140,Ambrosio Barroso Carbó,bernabé.sainz@example.com,Barcelona,2024-08-16,True,2024-08-16
USR-0141,Juan Pablo de Madrigal,marisol.roig@example.com,Barcelona,2025-02-12,False,
USR-0142,Rogelio Cabello Rico,marianela.falcó@example.com,Valencia,2024-10-12,False,
USR-0143,Yaiza Eugenia Cañete Cepeda,jesús.zaragoza@example.com,Valencia,2025-02-13,False,
USR-0144,Clara Llorente Serna,eutropio.ochoa@example.com,Barcelona,2024-12-05,False,
USR-0145,Jose Manuel Varela Mas,eric.cárdenas@example.com,Madrid,2024-09-24,True,2024-09-24
USR-0146,Susana Ricart Palomar,benigna.gonzalo@example.com,Madrid,2024-02-09,True,2024-02-09
USR-0147,María Luisa Menendez-Luna,eliseo.donaire@example.com,Madrid,2024-12-19,False,
USR-0148,Cayetano Camacho,alondra.pombo@example.com,Valencia,2025-03-22,False,
USR-0149,Yaiza Rosales Esteban,anunciación.rey@example.com,Valencia,2024-04-28,False,
USR-0150,Ángela Villanueva Fiol,florencio.corominas@example.com,Valencia,2024-07-13,False,
USR-0151,Jesusa Ponce Malo,domingo.araujo@example.com,Valencia,2025-03-22,True,2025-03-22
USR-0152,Juan Pablo Bermúdez Patiño,otilia.hernando@example.com,Valencia,2025-12-04,False,
USR-0153,Diego de Escribano,juan josé.donoso@example.com,Madrid,2025-11-17,True,2025-11-17
USR-0154,Fausto Bello Leal,roberto.medina@example.com,Madrid,2024-03-12,False,
USR-0155,Cesar Alsina Vicente,sebastián.múgica@example.com,Barcelona,2025-09-30,False,
USR-0156,Dalila Fábregas Bermudez,salud.rodriguez@example.com,Valencia,2024-11-03,False,
USR-0157,Cipriano Carlos,andrés.arenas@example.com,Valencia,2025-02-22,False,
USR-0158,Nilo del Hernando,florencia.miró@example.com,Barcelona,2024-10-29,False,
USR-0159,Cruz Carrasco Cuevas,valentina.quintero@example.com,Madrid,2025-03-06,False,
USR-0160,Adalberto Figuerola Lara,teobaldo.pérez@example.com,Barcelona,2025-11-24,False,
USR-0161,Tecla Ángel,samanta.martínez@example.com,Madrid,2025-09-22,False,
USR-0162,Toño Santana Almagro,blanca.larrea@example.com,Madrid,2025-07-15,False,
USR-0163,Gonzalo Beltran Abellán,teófila.aparicio@example.com,Valencia,2024-10-20,True,2024-10-20
USR-0164,Mariano Otero Vega,adalberto.ayala@example.com,Madrid,2025-09-13,False,
USR-0165,Iris Daniela Manrique Verdú,belen.vega@example.com,Barcelona,2025-03-28,False,
USR-0166,Leonel Robledo,maría jesús.gomis@example.com,Valencia,2025-06-07,False,
USR-0167,Marcio Cardona Torres,javiera.huertas@example.com,Madrid,2024-06-22,False,
USR-0168,Juanita Nebot Sala,teresa.barrera@example.com,Valencia,2025-06-11,False,
USR-0169,Visitación Mendoza Azcona,ale.córdoba@example.com,Barcelona,2024-12-09,True,2024-12-09
USR-0170,Lázaro Manuel Bermejo,fabio.roca@example.com,Barcelona,2025-11-19,False,
USR-0171,Jennifer Moliner Vallejo,isidoro.revilla@example.com,Barcelona,2024-05-30,True,2024-05-30
USR-0172,Cruz Chaves Criado,gabriel.mármol@example.com,Barcelona,2025-05-01,False,
USR-0173,Gabriela Adela Maldonado Iglesia,yaiza.arias@example.com,Valencia,2025-04-11,False,
USR-0174,María José Reyes Sainz,teodora.real@example.com,Valencia,2025-08-12,True,2025-08-12
USR-0175,Fausto Sarmiento Posada,iker.domínguez@example.com,Barcelona,2025-01-28,False,
USR-0176,Vera Barreda-Uribe,débora.jerez@example.com,Barcelona,2024-05-31,False,
USR-0177,Ramiro Arrieta,maximiliano.baquero@example.com,Barcelona,2024-04-19,False,
USR-0178,Ruy Correa Barrio,sofía.franch@example.com,Valencia,2024-06-29,False,
USR-0179,Manuela Santana Taboada,sol.esteban@example.com,Valencia,2025-06-14,False,
USR-0180,Lucila Puente,sandra.ávila@example.com,Barcelona,2024-09-12,False,
USR-0181,Aarón Reinaldo Esteban Roldan,paulino.cañas@example.com,Madrid,2025-04-12,True,2025-04-12
USR-0182,Urbano Sarmiento Cabo,galo.vaquero@example.com,Valencia,2025-10-08,False,
USR-0183,Bárbara Felicia Jove Carbonell,carla.álamo@example.com,Madrid,2025-09-01,False,
USR-0184,Esmeralda Mayte Segura Sastre,renato.villalonga@example.com,Valencia,2025-09-19,False,
USR-0185,Pepita Trujillo Cañas,nydia.diéguez@example.com,Valencia,2025-03-12,False,
USR-0186,Jaime Flavio Machado Bautista,azahar.folch@example.com,Valencia,2025-04-01,False,
USR-0187,Felicidad Flores Capdevila,jose angel.vergara@example.com,Barcelona,2025-05-01,False,
USR-0188,Heraclio del Saura,adán.mínguez@example.com,Valencia,2025-10-14,False,
USR-0189,Lucía Saavedra Sánchez,duilio.carrillo@example.com,Madrid,2025-05-11,False,
USR-0190,Narcisa Muro Anaya,pascual.jerez@example.com,Madrid,2025-03-26,True,2025-03-26
USR-0191,Clara Amat Roldán,hugo.vizcaíno@example.com,Madrid,2024-08-28,False,
USR-0192,Adriana Álvarez-Perez,rosendo.mas@example.com,Barcelona,2025-07-07,True,2025-07-07
USR-0193,Jessica de Cárdenas,francisco jose.niño@example.com,Barcelona,2024-08-24,False,
USR-0194,Saturnina Barrio Quintanilla,juanita.burgos@example.com,Madrid,2025-12-24,True,2025-12-24
USR-0195,Carmela Barros,octavio.recio@example.com,Madrid,2025-02-21,False,
USR-0196,Vilma Álamo Ureña,manola.villalba@example.com,Madrid,2025-03-01,True,2025-03-01
USR-0197,Custodio Lillo Piñol,joan.antúnez@example.com,Valencia,2025-02-02,False,
USR-0198,Melchor Salom,benito.montalbán@example.com,Valencia,2025-12-13,True,2025-12-13
USR-0199,Fabiola Cózar Aguiló,rogelio.losada@example.com,Madrid,2025-01-24,False,
USR-0200,María Belén Palomo Abascal,julieta.rocamora@example.com,Madrid,2024-11-01,False,
USR-0201,Cipriano Parra-Pi,rubén.torrecilla@example.com,Valencia,2025-07-05,False,
USR-0202,Alfonso Sandoval Pomares,vera.vives@example.com,Madrid,2025-09-09,False,
USR-0203,Calixta Cabezas Cruz,nydia.fuentes@example.com,Madrid,2024-08-12,False,
USR-0204,Ismael Maza Cervera,nicodemo.torres@example.com,Valencia,2024-01-30,False,
USR-0205,Paca del Grau,juanita.blanca@example.com,Valencia,2025-11-26,False,
USR-0206,Abril Simó-Gallo,graciana.becerra@example.com,Barcelona,2024-06-18,False,
USR-0207,Simón Espada,amor.madrid@example.com,Madrid,2025-09-29,False,
USR-0208,Herminia Royo Criado,carolina.niño@example.com,Barcelona,2025-08-29,False,
USR-0209,Julie Hernandez Jove,fidela.cerdán@example.com,Barcelona,2024-03-26,False,
USR-0210,Leandro Alegria Román,andrea.fajardo@example.com,Madrid,2025-04-17,True,2025-04-17
USR-0211,Jessica Neira,lourdes.contreras@example.com,Madrid,2025-01-23,False,
USR-0212,Che Castell-Casares,roberta.cantón@example.com,Madrid,2024-11-30,False,
USR-0213,Cruz Guillén Velázquez,angelina.pagès@example.com,Madrid,2024-10-11,False,
USR-0214,Francisco Ruano Osorio,dimas.martín@example.com,Madrid,2024-09-15,False,
USR-0215,Manuel Romeu,guiomar.pera@example.com,Barcelona,2024-01-20,False,
USR-0216,Bonifacio Torrent-Doménech,domingo.varela@example.com,Barcelona,2024-12-24,True,2024-12-24
USR-0217,Leoncio Marqués Sureda,evelia.sancho@example.com,Barcelona,2025-10-29,True,2025-10-29
USR-0218,Salomón Jacinto Armengol Lozano,rosa.mercader@example.com,Barcelona,2024-09-10,True,2024-09-10
USR-0219,Régulo Duque Martí,piedad.ramírez@example.com,Barcelona,2025-09-28,True,2025-09-28
USR-0220,Bruno Marciano Pacheco Torre,caridad.aguado@example.com,Valencia,2025-04-29,False,
USR-0221,Teresa Salamanca Moll,victoria.escolano@example.com,Madrid,2024-08-11,False,
USR-0222,Lucila de Hidalgo,juan luis.carrasco@example.com,Valencia,2025-01-12,True,2025-01-12
USR-0223,Pacífica Múñiz Benítez,ramona.castelló@example.com,Barcelona,2024-04-27,False,
USR-0224,Chus Fabiana Cortes Juárez,irene.coll@example.com,Barcelona,2024-11-14,True,2024-11-14
USR-0225,Zaira Vargas Salvador,flora.castrillo@example.com,Madrid,2024-11-15,False,
USR-0226,Edelmiro Palomino-Pedrero,teófilo.estevez@example.com,Barcelona,2025-02-10,False,
USR-0227,Merche Soria Hoyos,montserrat.montenegro@example.com,Valencia,2024-03-18,False,
USR-0228,Patricio del Gelabert,jacobo.gomis@example.com,Madrid,2024-09-05,True,2024-08-31
USR-0229,Zacarías de Canals,emiliano.giralt@example.com,Barcelona,2025-12-01,False,
USR-0230,Candelas Ariza Sierra,lilia.llanos@example.com,Madrid,2025-08-02,False,
USR-0231,Nilda Noa Bolaños Tormo,fabiola.alvarado@example.com,Madrid,2025-06-29,False,
USR-0232,Atilio Coronado,guadalupe.benavent@example.com,Madrid,2025-01-03,False,
USR-0233,Graciana López Escalona,aroa.ramón@example.com,Madrid,2024-01-13,False,
USR-0234,Nacho Carballo Gallardo,caridad.rosselló@example.com,Madrid,2024-04-18,False,
USR-0235,Ciriaco Curro Mínguez Ribes,andrés.moya@example.com,Madrid,2025-10-12,False,
USR-0236,Dulce Cantero Farré,elías.perelló@example.com,Barcelona,2025-12-25,True,2025-12-25
USR-0237,Delia Juan Valcárcel,chus.azcona@example.com,Madrid,2025-04-01,False,
USR-0238,Rubén Barco Alcalá,prudencia.casal@example.com,Valencia,2025-09-22,False,
USR-0239,Salvador Aliaga Guerra,estrella.murillo@example.com,Valencia,2025-05-10,False,
USR-0240,Maristela Prats,toni.herranz@example.com,Barcelona,2025-08-29,False,
USR-0241,Raimundo Badía Samper,luz.baños@example.com,Madrid,2024-03-29,False,
USR-0242,Ana Sofía Aragonés Vara,lisandro.hoz@example.com,Valencia,2024-09-06,False,
USR-0243,Xavier Agullo Guzman,nadia.ropero@example.com,Madrid,2025-09-16,False,
USR-0244,África Moraleda Nieto,samu.losada@example.com,Madrid,2024-01-30,False,
USR-0245,Bruno Ambrosio Collado Sainz,casemiro.trillo@example.com,Madrid,2024-07-05,False,
USR-0246,Xavier Tejero Fonseca,carlos.trujillo@example.com,Valencia,2024-09-21,False,
USR-0247,Leoncio de Blanca,amanda.arias@example.com,Valencia,2025-12-19,False,
USR-0248,Ibán Domínguez Torrent,berto.blázquez@example.com,Barcelona,2024-01-11,False,
USR-0249,Rafa Godoy Gallego,patricia.mariscal@example.com,Madrid,2024-03-28,True,2024-03-28
USR-0250,Teodosio Wálter Torres Aguilar,carmelo.segovia@example.com,Barcelona,2025-05-15,False,
USR-0251,Constanza Durán Arrieta,benigno.garmendia@example.com,Valencia,2025-12-08,False,
USR-0252,Noa Arteaga,norberto.riba@example.com,Barcelona,2025-05-17,False,
USR-0253,María Cristina Roman Saez,blas.camacho@example.com,Madrid,2024-04-05,False,
USR-0254,Hipólito Guzman,josé mari.barba@example.com,Valencia,2025-12-09,True,2025-12-09
USR-0255,Manola Lasa-Bayona,loreto.llobet@example.com,Valencia,2025-08-18,False,
USR-0256,Flora de Cerdán,enrique.sola@example.com,Valencia,2025-01-31,False,
USR-0257,Zoraida Ribera Durán,celestino.báez@example.com,Valencia,2025-07-17,False,
USR-0258,Maricela Martí Jover,amelia.cobos@example.com,Madrid,2025-04-09,False,
USR-0259,Octavio Oliva,elisabet.herranz@example.com,Barcelona,2024-08-24,True,2024-08-24
USR-0260,Ezequiel Zorrilla Espada,benigno.alcalde@example.com,Valencia,2024-11-19,True,2024-11-19
USR-0261,Jose Ramón Vilar-Puga,norberto.cabanillas@example.com,Barcelona,2025-12-07,True,2025-12-07
USR-0262,Sol del Sanmartín,salud.baró@example.com,Valencia,2025-05-10,False,
USR-0263,Benito Carreño Cervera,rubén.carbajo@example.com,Barcelona,2025-06-21,False,
USR-0264,Melisa Vázquez-Clavero,sancho.abellán@example.com,Madrid,2024-07-17,False,
USR-0265,Fausto Alsina,soledad.rodriguez@example.com,Valencia,2024-07-02,False,
USR-0266,Eutimio Jaime Torrens Romeu,nicolás.buendía@example.com,Barcelona,2025-06-30,True,2025-06-25
USR-0267,Matías Piña Diaz,isabel.real@example.com,Valencia,2024-02-25,False,
USR-0268,Chus Iglesias Jurado,josé ángel.collado@example.com,Madrid,2025-08-02,False,
USR-0269,Rico Román Hervás,iván.morillo@example.com,Valencia,2025-05-24,False,
USR-0270,Tito del Gual,ernesto.agudo@example.com,Madrid,2024-10-18,False,
USR-0271,Ascensión del Lasa,eustaquio.benet@example.com,Barcelona,2024-12-14,True,2024-12-14
USR-0272,Nando Sala Franco,pastora.carrera@example.com,Madrid,2024-09-15,False,
USR-0273,Montserrat Abascal Barba,benito.rocamora@example.com,Madrid,2024-04-26,False,
USR-0274,Nerea Andres Cadenas,graciano.batalla@example.com,Valencia,2025-05-18,True,2025-05-18
USR-0275,Flor Guerrero-Olivera,leandra.lastra@example.com,Barcelona,2025-12-03,True,2025-12-03
USR-0276,Merche del Artigas,erasmo.seco@example.com,Barcelona,2025-07-30,False,
USR-0277,Emelina Escalona-Gutierrez,mohamed.bermudez@example.com,Madrid,2024-09-11,True,2024-09-11
USR-0278,Jenaro de Bustos,jordana.montaña@example.com,Valencia,2025-09-12,False,
USR-0279,Gloria Izaguirre Niño,sandra.armengol@example.com,Madrid,2024-08-19,False,
USR-0280,Cándida Mendez-Lobo,eloísa.reina@example.com,Madrid,2025-04-06,False,
USR-0281,Chuy Carpio Landa,elvira.salamanca@example.com,Madrid,2025-08-25,False,
USR-0282,Bonifacio Leal Benet,celso.pino@example.com,Valencia,2025-08-05,False,
USR-0283,Bernardo Colomer Baquero,quique.casals@example.com,Barcelona,2024-04-11,False,
USR-0284,Rita Bonet Vidal,margarita.almazán@example.com,Valencia,2025-10-02,True,2025-10-02
USR-0285,Odalys Durán,vicenta.mínguez@example.com,Barcelona,2024-03-24,True,2024-03-24
USR-0286,Febe María Cristina Ramos Anaya,carlota.frías@example.com,Barcelona,2025-07-19,True,2025-07-19
USR-0287,Renata Peláez Tamayo,elvira.carmona@example.com,Valencia,2025-07-06,False,
USR-0288,Ildefonso Martin Ariza,gertrudis.saldaña@example.com,Barcelona,2025-04-26,False,
USR-0289,Nicodemo Mancebo Carballo,amador.bernad@example.com,Valencia,2024-10-22,False,
