order_id,user_id,restaurant_id,payment_id,delivery_id,order_datetime,order_date,order_year,order_month,order_status,refund_reason,user_full_name,user_email,user_city,user_signup_date,user_is_subscriber,user_subscription_start_date,restaurant_name,cuisine_type,restaurant_city,restaurant_tier,restaurant_avg_rating,restaurant_commission_rate,payment_method,payment_status,currency,food_amount,delivery_fee,total_amount,courier_id,distance_km,estimated_delivery_minutes,pickup_time,delivered_time,delivery_status,actual_delivery_minutes,restaurant_commission_amount,restaurant_payout_amount,is_delivered_order,is_cancelled_order,is_refunded_payment,is_late_delivery,has_subscription_before_signup,has_delivered_before_pickup,has_invalid_delivery_duration,has_unusual_delivery_duration,has_data_quality_issue
ORD-000021,USR-0653,RES-0016,PAY-000021,DEL-000021,2025-12-22 16:59:00,2025-12-22,2025,12,delivered,,María Teresa Carlos-Mosquera,anastasio.marco@example.com,Valencia,2024-11-23,f,,Calvo Ltd,japanese,Valencia,small_local,4.20,0.15,google_pay,paid,EUR,43.98,3.99,47.97,CUR-0057,2.70,30,2025-12-22 17:16:00,2025-12-22 17:51:00,delivered,35,6.60,37.38,t,f,f,t,f,f,f,f,f
ORD-000022,USR-0143,RES-0069,PAY-000022,DEL-000022,2025-12-17 11:06:00,2025-12-17,2025,12,delivered,,Yaiza Eugenia Cañete Cepeda,jesús.zaragoza@example.com,Valencia,2025-02-13,f,,Baños and Sons,italian,Valencia,medium,3.90,0.20,apple_pay,paid,EUR,19.49,3.99,23.48,CUR-0238,2.70,38,2025-12-17 11:17:00,2025-12-17 11:51:00,delivered,34,3.90,15.59,t,f,f,f,f,f,f,f,f
ORD-000023,USR-0774,RES-0085,PAY-000023,DEL-000023,2025-06-11 11:04:00,2025-06-11,2025,6,delivered,,Guiomar Benavides-Lloret,dionisio.alegria@example.com,Valencia,2025-05-22,t,2025-05-22,Aguirre-Fernández,spanish,Valencia,medium,4.40,0.20,card,paid,EUR,44.66,0.00,44.66,CUR-0178,1.40,28,2025-06-11 11:21:00,2025-06-11 11:49:00,delivered,28,8.93,35.73,t,f,f,f,f,f,f,f,f
ORD-000024,USR-0113,RES-0023,PAY-000024,DEL-000024,2025-09-20 20:43:00,2025-09-20,2025,9,delivered,,Ovidio Loreto Manrique Beltrán,edelmira.dueñas@example.com,Barcelona,2024-11-02,f,,Aragonés Inc,spanish,Barcelona,small_local,4.50,0.15,paypal,paid,EUR,16.75,3.99,20.74,CUR-0163,2.80,36,2025-09-20 20:53:00,2025-09-20 21:27:00,delivered,34,2.51,14.24,t,f,f,f,f,f,f,f,f
ORD-000025,USR-0803,RES-0023,PAY-000025,DEL-000025,2025-11-08 23:03:00,2025-11-08,2025,11,delivered,,Anunciación Clarisa Alcalá Moreno,luna.pi@example.com,Barcelona,2025-09-02,f,,Aragonés Inc,spanish,Barcelona,small_local,4.50,0.15,paypal,paid,EUR,30.58,3.99,34.57,CUR-0106,2.80,27,2025-11-08 23:16:00,2025-11-08 23:42:00,delivered,26,4.59,25.99,t,f,f,f,f,f,f,f,f
ORD-000026,USR-0638,RES-0077,PAY-000026,DEL-000026,2025-10-10 09:15:00,2025-10-10,2025,10,delivered,,Aureliano Trujillo Ortega,lourdes.llamas@example.com,Madrid,2024-08-29,f,,Reig PLC,mexican,Madrid,small_local,4.80,0.15,paypal,paid,EUR,11.21,3.99,15.20,CUR-0149,4.20,52,2025-10-10 09:32:00,2025-10-10 10:23:00,delivered,51,1.68,9.53,t,f,f,f,f,f,f,f,f
ORD-000027,USR-0466,RES-0003,PAY-000027,DEL-000027,2025-09-06 15:05:00,2025-09-06,2025,9,delivered,,Rodrigo Belda-Salgado,elena.sacristán@example.com,Valencia,2025-03-09,f,,Sobrino Group,japanese,Valencia,small_local,4.40,0.15,apple_pay,paid,EUR,28.96,3.99,32.95,CUR-0025,8.50,74,2025-09-06 15:20:00,2025-09-06 16:45:00,delivered,85,4.34,24.62,t,f,f,t,f,f,f,f,f
ORD-000028,USR-0464,RES-0084,PAY-000028,DEL-000028,2025-12-12 17:06:00,2025-12-12,2025,12,delivered,,Evita Amador Sosa,amparo.seco@example.com,Barcelona,2025-07-29,f,,"Burgos, Ortuño and Cobos",spanish,Barcelona,small_local,4.40,0.15,paypal,paid,EUR,50.44,3.99,54.43,CUR-0181,1.00,28,,,delivered,42,7.57,42.87,t,f,f,t,f,f,f,f,f
ORD-000029,USR-1057,RES-0030,PAY-000029,DEL-000029,2025-01-28 23:25:00,2025-01-28,2025,1,delivered,,Vanesa Escamilla Ruiz,margarita.rodriguez@example.com,Barcelona,2024-05-09,f,,Lloret-Leiva,valencian,Barcelona,small_local,4.10,0.15,apple_pay,paid,EUR,34.76,3.99,38.75,CUR-0115,7.40,57,2025-01-28 23:35:00,2025-01-29 00:35:00,delivered,60,5.21,29.55,t,f,f,t,f,f,f,f,f
ORD-000030,USR-0897,RES-0041,PAY-000030,DEL-000030,2025-06-17 13:45:00,2025-06-17,2025,6,cancelled,late_delivery,Rosario del Alcalá,abel.talavera@example.com,Madrid,2024-01-18,f,,Barroso LLC,spanish,Madrid,medium,4.80,0.20,paypal,refunded,EUR,32.11,3.99,36.10,CUR-0247,5.90,60,,,cancelled,,6.42,25.69,f,t,t,f,f,f,f,f,f
ORD-000031,USR-0356,RES-0055,PAY-000031,DEL-000031,2025-11-09 18:30:00,2025-11-09,2025,11,delivered,,Valerio Patricio Vazquez Montalbán,eutropio.lucas@example.com,Madrid,2024-11-20,f,,"Esteban, Sevilla and Borrás",japanese,Madrid,small_local,4.10,0.15,google_pay,paid,EUR,36.83,3.99,40.82,CUR-0068,8.50,55,2025-11-09 18:46:00,2025-11-09 19:43:00,delivered,57,5.52,31.31,t,f,f,t,f,f,f,f,f
ORD-000032,USR-0621,RES-0011,PAY-000032,DEL-000032,2025-11-22 18:30:00,2025-11-22,2025,11,cancelled,customer_complaint,Lara Novoa,celia.torres@example.com,Madrid,2025-03-26,f,,"Tomé, Rios and Múñiz",italian,Madrid,premium,4.30,0.25,apple_pay,refunded,EUR,37.49,3.99,41.48,CUR-0164,6.70,54,,,cancelled,,9.37,28.12,f,t,t,f,f,f,f,f,f
ORD-000033,USR-1456,RES-0048,PAY-000033,DEL-000033,2024-11-15 18:30:00,2024-11-15,2024,11,delivered,,Santos Hurtado Palomo,calista.morata@example.com,Valencia,2024-10-05,f,,"Nebot, Escrivá and Quintana",japanese,Valencia,small_local,4.70,0.15,apple_pay,paid,EUR,64.77,3.99,68.76,CUR-0003,9.20,71,2024-11-15 18:43:00,2024-11-15 19:49:00,delivered,66,9.72,55.05,t,f,f,f,f,f,f,f,f
ORD-000034,USR-0644,RES-0062,PAY-000034,DEL-000034,2025-10-11 19:46:00,2025-10-11,2025,10,delivered,,Eulalia Acero Garrido,florentino.gallego@example.com,Barcelona,2024-11-17,f,,"Gárate, Bosch and Gabaldón",japanese,Barcelona,medium,4.40,0.20,paypal,paid,EUR,26.01,3.99,30.00,CUR-0028,3.20,40,,,delivered,40,5.20,20.81,t,f,f,f,f,f,f,f,f
ORD-000035,USR-0146,RES-0076,PAY-000035,DEL-000035,2025-11-21 09:23:00,2025-11-21,2025,11,delivered,,Susana Ricart Palomar,benigna.gonzalo@example.com,Madrid,2024-02-09,t,2024-02-09,Diego Group,valencian,Madrid,medium,4.90,0.20,apple_pay,paid,EUR,47.05,0.00,47.05,CUR-0089,5.40,64,2025-11-21 09:33:00,2025-11-21 10:37:00,delivered,64,9.41,37.64,t,f,f,f,f,f,f,f,f
ORD-000036,USR-1299,RES-0036,PAY-000036,DEL-000036,2025-09-02 16:15:00,2025-09-02,2025,9,cancelled,damaged_food,Seve Pomares Chaves,pío.lago@example.com,Barcelona,2025-08-26,t,2025-08-26,Palomares-Rincón,asian fusion,Barcelona,small_local,3.80,0.15,paypal,refunded,EUR,39.93,0.00,39.93,CUR-0030,5.60,56,,,cancelled,,5.99,33.94,f,t,t,f,f,f,f,f,f
ORD-000037,USR-0972,RES-0035,PAY-000037,DEL-000037,2025-12-15 19:10:00,2025-12-15,2025,12,delivered,,Amor del Portero,tecla.carlos@example.com,Valencia,2025-11-20,f,,"Mir, Hierro and Querol",mexican,Valencia,medium,4.20,0.20,apple_pay,paid,EUR,15.41,3.99,19.40,CUR-0105,8.50,58,2025-12-15 19:21:00,2025-12-15 20:42:00,delivered,81,3.08,12.33,t,f,f,t,f,f,f,f,f
ORD-000038,USR-1066,RES-0085,PAY-000038,DEL-000038,2025-10-13 09:50:00,2025-10-13,2025,10,delivered,,Rosalina Gomis Luque,emma.campoy@example.com,Valencia,2025-08-18,t,2025-08-18,Aguirre-Fernández,spanish,Valencia,medium,4.40,0.20,apple_pay,paid,EUR,64.40,0.00,64.40,CUR-0008,0.70,20,2025-10-13 10:06:00,2025-10-13 10:38:00,delivered,32,12.88,51.52,t,f,f,t,f,f,f,f,f
ORD-000039,USR-0215,RES-0072,PAY-000039,DEL-000039,2024-03-11 23:05:00,2024-03-11,2024,3,delivered,,Manuel Romeu,guiomar.pera@example.com,Barcelona,2024-01-20,f,,Manzanares Ltd,mexican,Barcelona,small_local,4.00,0.15,google_pay,paid,EUR,67.05,3.99,71.04,CUR-0110,1.30,26,2024-03-11 23:22:00,2024-03-11 23:53:00,delivered,31,10.06,56.99,t,f,f,t,f,f,f,f,f
ORD-000040,USR-0619,RES-0084,PAY-000040,DEL-000040,2025-11-22 17:22:00,2025-11-22,2025,11,delivered,,Liliana del Nebot,prudencia.larrañaga@example.com,Barcelona,2025-11-02,f,,"Burgos, Ortuño and Cobos",spanish,Barcelona,small_local,4.40,0.15,apple_pay,paid,EUR,19.19,3.99,23.18,CUR-0096,1.10,26,2025-11-22 17:34:00,2025-11-22 18:06:00,delivered,32,2.88,16.31,t,f,f,t,f,f,f,f,f
ORD-000041,USR-1158,RES-0029,PAY-000041,DEL-000041,2024-10-10 12:38:00,2024-10-10,2024,10,cancelled,damaged_food,Edmundo Gámez Cerdá,julio césar.cabrera@example.com,Madrid,2024-01-09,f,,Alcázar-Prats,mexican,Madrid,premium,4.60,0.25,paypal,refunded,EUR,31.25,3.99,35.24,CUR-0058,0.60,32,,,cancelled,,7.81,23.44,f,t,t,f,f,f,f,f,f
ORD-000042,USR-1147,RES-0062,PAY-000042,DEL-000042,2025-02-17 18:00:00,2025-02-17,2025,2,delivered,,Domingo Villaverde Cornejo,nieves.agustí@example.com,Barcelona,2025-01-27,f,,"Gárate, Bosch and Gabaldón",japanese,Barcelona,medium,4.40,0.20,google_pay,paid,EUR,18.09,3.99,22.08,CUR-0168,9.10,70,2025-02-17 18:08:00,2025-02-17 19:17:00,delivered,69,3.62,14.47,t,f,f,f,f,f,f,f,f
ORD-000043,USR-1154,RES-0068,PAY-000043,DEL-000043,2025-02-20 17:06:00,2025-02-20,2025,2,delivered,,Albert Aguilar,gracia.tejero@example.com,Barcelona,2024-08-16,f,,Pera-Baquero,japanese,Barcelona,medium,4.60,0.20,apple_pay,paid,EUR,58.25,3.99,62.24,CUR-0099,2.10,34,2025-02-20 17:17:00,2025-02-20 17:50:00,delivered,33,11.65,46.60,t,f,f,f,f,f,f,f,f
ORD-000044,USR-1154,RES-0009,PAY-000044,DEL-000044,2025-05-30 13:21:00,2025-05-30,2025,5,cancelled,customer_complaint,Albert Aguilar,gracia.tejero@example.com,Barcelona,2024-08-16,f,,Ros-Coronado,spanish,Barcelona,medium,3.90,0.20,apple_pay,refunded,EUR,62.51,3.99,66.50,CUR-0086,7.90,48,,,cancelled,,12.50,50.01,f,t,t,f,f,f,f,f,f
ORD-000045,USR-0709,RES-0019,PAY-000045,DEL-000045,2025-07-04 22:50:00,2025-07-04,2025,7,delivered,,Pacífica Cobo Llanos,trinidad.bastida@example.com,Madrid,2025-01-09,f,,Barriga-Sosa,valencian,Madrid,small_local,4.80,0.15,paypal,paid,EUR,27.67,3.99,31.66,CUR-0247,2.60,43,2025-07-04 23:10:00,2025-07-04 23:51:00,delivered,41,4.15,23.52,t,f,f,f,f,f,f,f,f
ORD-000046,USR-1148,RES-0049,PAY-000046,DEL-000046,2025-12-11 16:24:00,2025-12-11,2025,12,delivered,,Pastor Osvaldo Castellanos Giralt,cristóbal.riera@example.com,Valencia,2024-02-06,f,,"Mir, Arroyo and Durán",asian fusion,Valencia,small_local,4.40,0.15,apple_pay,paid,EUR,32.03,3.99,36.02,CUR-0022,7.10,72,2025-12-11 16:35:00,2025-12-11 17:48:00,delivered,73,4.80,27.23,t,f,f,t,f,f,f,f,f
ORD-000047,USR-1054,RES-0063,PAY-000047,DEL-000047,2025-10-08 15:09:00,2025-10-08,2025,10,cancelled,damaged_food,Máximo Espinosa,ana sofía.alemán@example.com,Valencia,2025-06-10,f,,Arce PLC,mediterranean,Valencia,small_local,4.30,0.15,card,refunded,EUR,57.50,3.99,61.49,CUR-0241,4.90,53,,,cancelled,,8.63,48.88,f,t,t,f,f,f,f,f,f
ORD-000048,USR-1018,RES-0074,PAY-000048,DEL-000048,2025-11-28 16:57:00,2025-11-28,2025,11,delivered,,Adrián de Morera,josefina.arrieta@example.com,Valencia,2024-10-31,f,,"Nicolau, Moliner and Escalona",mediterranean,Valencia,small_local,4.90,0.15,paypal,paid,EUR,29.86,3.99,33.85,CUR-0101,3.40,37,2025-11-28 17:12:00,2025-11-28 17:46:00,delivered,34,4.48,25.38,t,f,f,f,f,f,f,f,f
ORD-000049,USR-0350,RES-0027,PAY-000049,DEL-000049,2024-01-29 16:07:00,2024-01-29,2024,1,delivered,,Ramón Muro-Roselló,reina.bauzà@example.com,Madrid,2024-01-16,f,,"Manrique, Carnero and Fonseca",mexican,Madrid,small_local,4.00,0.15,card,paid,EUR,53.09,3.99,57.08,CUR-0239,4.60,41,2024-01-29 16:26:00,2024-01-29 17:07:00,delivered,41,7.96,45.13,t,f,f,f,f,f,f,f,f
ORD-000050,USR-1020,RES-0058,PAY-000050,DEL-000050,2025-01-26 19:50:00,2025-01-26,2025,1,cancelled,wrong_items,Concha Vicens-Rivas,dionisio.zurita@example.com,Barcelona,2024-04-30,t,2024-04-30,Jove Group,spanish,Barcelona,premium,5.00,0.25,paypal,refunded,EUR,36.68,0.00,36.68,CUR-0071,6.80,68,,,cancelled,,9.17,27.51,f,t,t,f,f,f,f,f,f
ORD-000051,USR-0163,RES-0043,PAY-000051,DEL-000051,2024-11-19 15:22:00,2024-11-19,2024,11,delivered,,Gonzalo Beltran Abellán,teófila.aparicio@example.com,Valencia,2024-10-20,t,2024-10-20,Soler-Álamo,spanish,Valencia,premium,3.90,0.25,apple_pay,paid,EUR,69.09,0.00,69.09,CUR-0217,9.40,86,2024-11-19 15:38:00,2024-11-19 17:12:00,delivered,94,17.27,51.82,t,f,f,t,f,f,f,f,f
ORD-000052,USR-0056,RES-0070,PAY-000052,DEL-000052,2025-12-02 21:46:00,2025-12-02,2025,12,delivered,,Amaro Bernat Gisbert,agapito.alfaro@example.com,Barcelona,2025-08-03,f,,Carrera Ltd,asian fusion,Barcelona,medium,4.50,0.20,paypal,paid,EUR,56.47,3.99,60.46,CUR-0164,2.90,38,2025-12-02 22:04:00,2025-12-02 22:53:00,delivered,49,11.29,45.18,t,f,f,t,f,f,f,f,f
ORD-000053,USR-0066,RES-0016,PAY-000053,DEL-000053,2025-12-31 22:20:00,2025-12-31,2025,12,delivered,,Bartolomé León Marqués Julián,palmira.artigas@example.com,Valencia,2025-08-25,f,,Calvo Ltd,japanese,Valencia,small_local,4.20,0.15,paypal,paid,EUR,67.57,3.99,71.56,CUR-0145,2.40,24,2025-12-31 22:40:00,2025-12-31 23:07:00,delivered,27,10.14,57.43,t,f,f,t,f,f,f,f,f
ORD-000054,USR-1271,RES-0054,PAY-000054,DEL-000054,2024-12-16 10:35:00,2024-12-16,2024,12,cancelled,damaged_food,Jose Carlos Cerdá Soto,silvio.pombo@example.com,Madrid,2024-02-04,f,,"Arnal, Ojeda and Escudero",valencian,Madrid,small_local,4.90,0.15,google_pay,refunded,EUR,57.19,3.99,61.18,CUR-0061,4.90,54,,,cancelled,,8.58,48.61,f,t,t,f,f,f,f,f,f
ORD-000055,USR-1394,RES-0024,PAY-000055,DEL-000055,2025-09-28 10:38:00,2025-09-28,2025,9,delivered,,Josefina Coello-Barral,sabina.codina@example.com,Barcelona,2025-06-26,f,,"Elías, Benitez and Pardo",mexican,Barcelona,small_local,4.20,0.15,card,paid,EUR,62.34,3.99,66.33,CUR-0225,3.30,43,2025-09-28 10:46:00,2025-09-28 11:30:00,delivered,259,9.35,52.99,t,f,f,t,f,f,t,t,t
ORD-000056,USR-0909,RES-0017,PAY-000056,DEL-000056,2024-10-02 11:47:00,2024-10-02,2024,10,delivered,,Fortunata Maestre Manrique,águeda.gelabert@example.com,Madrid,2024-02-02,t,2024-02-02,"Velasco, Llorente and Nadal",japanese,Madrid,small_local,4.30,0.15,google_pay,paid,EUR,14.07,1.49,15.56,CUR-0164,7.20,63,2024-10-02 11:57:00,2024-10-02 13:35:00,delivered,98,2.11,11.96,t,f,f,t,f,f,f,f,f
ORD-000057,USR-1259,RES-0042,PAY-000057,DEL-000057,2025-01-18 22:53:00,2025-01-18,2025,1,delivered,,Dulce Ayala Lamas,ignacio.ros@example.com,Barcelona,2024-12-21,f,,"Gual, Paredes and Quirós",mexican,Barcelona,small_local,4.10,0.15,apple_pay,paid,EUR,47.21,3.99,51.20,CUR-0202,4.40,47,2025-01-18 23:03:00,2025-01-18 23:54:00,delivered,51,7.08,40.13,t,f,f,t,f,f,f,f,f
ORD-000058,USR-1080,RES-0012,PAY-000058,DEL-000058,2024-09-04 22:16:00,2024-09-04,2024,9,delivered,,Basilio Madrid-Garay,teófilo.urrutia@example.com,Madrid,2024-04-05,f,,Linares LLC,asian fusion,Madrid,medium,3.80,0.20,paypal,paid,EUR,66.32,3.99,70.31,CUR-0023,2.00,39,2024-09-04 22:36:00,2024-09-04 23:51:00,delivered,75,13.26,53.06,t,f,f,t,f,f,f,f,f
